Time Stamp,Name,PTID,LBMP,Marginal Cost Losses,Marginal Cost Congestion,Year,Month,Day,Hour,Day_of_Week,Date
2020-01-01 00:00:00,N.Y.C.,61761,20.74,0.01,-20.62,2020,1,1,0,3,2020-01-01
2020-01-01 01:00:00,N.Y.C.,61761,19.21,0.11,-17.83,2020,1,1,1,3,2020-01-01
2020-01-01 02:00:00,N.Y.C.,61761,17.52,0.01,-17.39,2020,1,1,2,3,2020-01-01
2020-01-01 03:00:00,N.Y.C.,61761,16.74,-0.1,-17.96,2020,1,1,3,3,2020-01-01
2020-01-01 04:00:00,N.Y.C.,61761,19.84,-0.21,-22.55,2020,1,1,4,3,2020-01-01
2020-01-01 05:00:00,N.Y.C.,61761,17.76,0.08,-16.71,2020,1,1,5,3,2020-01-01
2020-01-01 06:00:00,N.Y.C.,61761,17.22,-0.21,-19.92,2020,1,1,6,3,2020-01-01
2020-01-01 07:00:00,N.Y.C.,61761,13.71,0.24,-10.96,2020,1,1,7,3,2020-01-01
2020-01-01 08:00:00,N.Y.C.,61761,15.44,0.48,-9.99,2020,1,1,8,3,2020-01-01
2020-01-01 09:00:00,N.Y.C.,61761,15.86,1.15,-2.41,2020,1,1,9,3,2020-01-01
2020-01-01 10:00:00,N.Y.C.,61761,16.66,1.36,-0.66,2020,1,1,10,3,2020-01-01
2020-01-01 11:00:00,N.Y.C.,61761,18.08,1.54,-0.14,2020,1,1,11,3,2020-01-01
2020-01-01 12:00:00,N.Y.C.,61761,19.91,1.46,-2.24,2020,1,1,12,3,2020-01-01
2020-01-01 13:00:00,N.Y.C.,61761,20.24,1.37,-3.97,2020,1,1,13,3,2020-01-01
2020-01-01 14:00:00,N.Y.C.,61761,20.36,1.23,-5.95,2020,1,1,14,3,2020-01-01
2020-01-01 15:00:00,N.Y.C.,61761,21.09,0.91,-10.4,2020,1,1,15,3,2020-01-01
2020-01-01 16:00:00,N.Y.C.,61761,20.62,0.82,-11.25,2020,1,1,16,3,2020-01-01
2020-01-01 17:00:00,N.Y.C.,61761,23.16,0.19,-20.96,2020,1,1,17,3,2020-01-01
2020-01-01 18:00:00,N.Y.C.,61761,33.52,-0.34,-37.51,2020,1,1,18,3,2020-01-01
2020-01-01 19:00:00,N.Y.C.,61761,35.85,-0.25,-38.87,2020,1,1,19,3,2020-01-01
2020-01-01 20:00:00,N.Y.C.,61761,24.54,0.57,-17.95,2020,1,1,20,3,2020-01-01
2020-01-01 21:00:00,N.Y.C.,61761,21.39,0.79,-12.54,2020,1,1,21,3,2020-01-01
2020-01-01 22:00:00,N.Y.C.,61761,20.4,0.71,-12.1,2020,1,1,22,3,2020-01-01
2020-01-01 23:00:00,N.Y.C.,61761,18.96,0.75,-10.24,2020,1,1,23,3,2020-01-01
2020-01-02 00:00:00,N.Y.C.,61761,18.01,0.33,-13.91,2020,1,2,0,4,2020-01-02
2020-01-02 01:00:00,N.Y.C.,61761,16.27,0.34,-11.93,2020,1,2,1,4,2020-01-02
2020-01-02 02:00:00,N.Y.C.,61761,14.33,0.86,-3.34,2020,1,2,2,4,2020-01-02
2020-01-02 03:00:00,N.Y.C.,61761,17.84,0.72,-8.37,2020,1,2,3,4,2020-01-02
2020-01-02 04:00:00,N.Y.C.,61761,17.73,0.28,-14.03,2020,1,2,4,4,2020-01-02
2020-01-02 05:00:00,N.Y.C.,61761,19.23,0.6,-11.04,2020,1,2,5,4,2020-01-02
2020-01-02 06:00:00,N.Y.C.,61761,21.24,1.09,-7.91,2020,1,2,6,4,2020-01-02
2020-01-02 07:00:00,N.Y.C.,61761,20.51,0.71,-12.75,2020,1,2,7,4,2020-01-02
2020-01-02 08:00:00,N.Y.C.,61761,22.53,0.23,-19.97,2020,1,2,8,4,2020-01-02
2020-01-02 09:00:00,N.Y.C.,61761,17.87,0.3,-14.93,2020,1,2,9,4,2020-01-02
2020-01-02 10:00:00,N.Y.C.,61761,18.34,1.72,-1.42,2020,1,2,10,4,2020-01-02
2020-01-02 11:00:00,N.Y.C.,61761,19.71,1.94,-1.13,2020,1,2,11,4,2020-01-02
2020-01-02 12:00:00,N.Y.C.,61761,20.14,2.03,0.0,2020,1,2,12,4,2020-01-02
2020-01-02 13:00:00,N.Y.C.,61761,20.07,1.97,0.0,2020,1,2,13,4,2020-01-02
2020-01-02 14:00:00,N.Y.C.,61761,20.03,1.97,0.0,2020,1,2,14,4,2020-01-02
2020-01-02 15:00:00,N.Y.C.,61761,20.06,1.8,-1.78,2020,1,2,15,4,2020-01-02
2020-01-02 16:00:00,N.Y.C.,61761,20.67,2.03,-0.87,2020,1,2,16,4,2020-01-02
2020-01-02 17:00:00,N.Y.C.,61761,41.36,4.1,0.0,2020,1,2,17,4,2020-01-02
2020-01-02 18:00:00,N.Y.C.,61761,24.53,2.25,-2.12,2020,1,2,18,4,2020-01-02
2020-01-02 19:00:00,N.Y.C.,61761,21.83,1.72,-5.02,2020,1,2,19,4,2020-01-02
2020-01-02 20:00:00,N.Y.C.,61761,20.71,1.47,-5.75,2020,1,2,20,4,2020-01-02
2020-01-02 21:00:00,N.Y.C.,61761,20.28,1.33,-6.69,2020,1,2,21,4,2020-01-02
2020-01-02 22:00:00,N.Y.C.,61761,19.55,0.76,-11.45,2020,1,2,22,4,2020-01-02
2020-01-02 23:00:00,N.Y.C.,61761,18.99,1.12,-6.57,2020,1,2,23,4,2020-01-02
2020-01-03 00:00:00,N.Y.C.,61761,20.29,0.95,-8.82,2020,1,3,0,5,2020-01-03
2020-01-03 01:00:00,N.Y.C.,61761,15.99,1.0,-3.71,2020,1,3,1,5,2020-01-03
2020-01-03 02:00:00,N.Y.C.,61761,16.19,0.89,-5.05,2020,1,3,2,5,2020-01-03
2020-01-03 03:00:00,N.Y.C.,61761,15.45,0.92,-3.76,2020,1,3,3,5,2020-01-03
2020-01-03 04:00:00,N.Y.C.,61761,18.04,0.67,-9.64,2020,1,3,4,5,2020-01-03
2020-01-03 05:00:00,N.Y.C.,61761,16.05,0.86,-5.04,2020,1,3,5,5,2020-01-03
2020-01-03 06:00:00,N.Y.C.,61761,20.92,1.37,-2.61,2020,1,3,6,5,2020-01-03
2020-01-03 07:00:00,N.Y.C.,61761,21.4,1.79,0.0,2020,1,3,7,5,2020-01-03
2020-01-03 08:00:00,N.Y.C.,61761,22.02,2.08,-0.01,2020,1,3,8,5,2020-01-03
2020-01-03 09:00:00,N.Y.C.,61761,20.7,2.09,-0.42,2020,1,3,9,5,2020-01-03
